,meituan_name,meituan_spec,top_matches
20318304358,（规格自选强力布基胶带网格双面胶高粘度透明无痕地毯地垫沙发垫固定贴 一卷,5cm*10m#2cm*10m,"[{'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20593235769,海氏海诺 一次性医用外科口罩 10只_盒,10只/盒,"[{'matched_elme_id': 949021019485, 'matched_elme_name': '心相印 杀菌卫生湿巾 10片/袋', 'matched_elme_spec': nan, 'similarity_score': 0.3454}, {'matched_elme_id': 950129193493, 'matched_elme_name': '青岛啤酒 10°P经典啤酒 500ml/听', 'matched_elme_spec': nan, 'similarity_score': 0.3406}, {'matched_elme_id': 949023655620, 'matched_elme_name': '淘淘氧棉天山白 240mm轻盈无边纯棉日用卫生巾 10片/包', 'matched_elme_spec': nan, 'similarity_score': 0.2407}]"
20317711803,爱斐堡 牛奶味生吐司 散装 约70g_袋,70g*1袋,"[{'matched_elme_id': 949473410578, 'matched_elme_name': '老李 五香干 70g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.4181}, {'matched_elme_id': 949021867021, 'matched_elme_name': '乐事 青柠味原切马铃薯片 70g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.3177}, {'matched_elme_id': 949476034503, 'matched_elme_name': '浪味仙 蔬菜口味创意花式薯卷 70g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.268}]"
20318114339,【1条】雀巢 脆脆鲨巧克力味威化饼干 零食营养能量棒,1根,"[{'matched_elme_id': 949475162600, 'matched_elme_name': 'Richeese 丽芝士 纳宝帝奶酪味威化饼干 56g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.3809}, {'matched_elme_id': 949011555171, 'matched_elme_name': '娃哈哈营养快线 水果酸奶饮品 500g/瓶', 'matched_elme_spec': nan, 'similarity_score': 0.2068}, {'matched_elme_id': 949015511254, 'matched_elme_name': '太平 低糖奶盐味梳打饼干 100g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.1936}]"
20316956858,天明 桉叶糖 22克_盒,22克*1盒,"[{'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20319809089,洽洽 香瓜子 洽洽坚果炒货 110g／包,110g/包,"[{'matched_elme_id': 949019347220, 'matched_elme_name': '洽洽 香瓜子 160g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.614}, {'matched_elme_id': 949028799678, 'matched_elme_name': '洽洽香瓜子葵瓜子原味恰恰原香瓜子前台接待坚果炒货休闲KTV零食 260g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.5779}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20470087532,秀峰香 肉松沙拉三明治面包 65g_袋,65g*1袋,"[{'matched_elme_id': 950676368263, 'matched_elme_name': '南街村 北京麻辣方便面 65g／袋 儿时的味道经典麻辣味', 'matched_elme_spec': nan, 'similarity_score': 0.3205}, {'matched_elme_id': 949015899222, 'matched_elme_name': '达利园 香奶味法式软面包 360g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2057}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20649168306,【山姆同款】Member's Mark 榛子味威化饼干_45g袋,,"[{'matched_elme_id': 949475162600, 'matched_elme_name': 'Richeese 丽芝士 纳宝帝奶酪味威化饼干 56g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.4227}, {'matched_elme_id': 949015511254, 'matched_elme_name': '太平 低糖奶盐味梳打饼干 100g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2205}, {'matched_elme_id': 949473118005, 'matched_elme_name': '好丽友好有趣 韩国泡菜味好友趣切片型马铃薯片 45g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2184}]"
20319136979,【新鲜时令】进口新鲜水果越南香蕉500g约3-5根_份,500g*1份,"[{'matched_elme_id': 949011555171, 'matched_elme_name': '娃哈哈营养快线 水果酸奶饮品 500g/瓶', 'matched_elme_spec': nan, 'similarity_score': 0.5114}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20318183497,达利园 香奶味软面包  200g／袋 面包就要达利园,200g*1袋,"[{'matched_elme_id': 949015899222, 'matched_elme_name': '达利园 香奶味法式软面包 360g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.7449}, {'matched_elme_id': 949028739570, 'matched_elme_name': '达利园 桂圆莲子八宝粥 360g/罐', 'matched_elme_spec': nan, 'similarity_score': 0.2678}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20318504675,脆司令 奥尔良鸡翅味香脆面干脆面 53g／袋,53g*1袋,"[{'matched_elme_id': 955473677412, 'matched_elme_name': '【鲨鱼菲特】轻食 奥尔良味 低脂嫩烤鸡胸肉 60g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2309}, {'matched_elme_id': 949018491523, 'matched_elme_name': '乐事 香脆烤鸡翅味大波浪薯片 70克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2244}, {'matched_elme_id': 950662664340, 'matched_elme_name': '【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2192}]"
20318026323,小浣熊 滋滋烤肉味干脆面 有肉任性35g／袋 初心不改美味依旧（包装随机发货）,35克,"[{'matched_elme_id': 950662664340, 'matched_elme_name': '【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.6351}, {'matched_elme_id': 950100413689, 'matched_elme_name': '劲牌 35度中国劲酒 125ml/瓶', 'matched_elme_spec': nan, 'similarity_score': 0.1796}, {'matched_elme_id': 950660220015, 'matched_elme_name': '中街 糯米糍香草口味雪糕 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.1508}]"
20319641691,马来西亚进口大马碧富咸柠檬薄荷糖清凉青柠味清新himalaya润喉糖15克_袋,,"[{'matched_elme_id': 949021867021, 'matched_elme_name': '乐事 青柠味原切马铃薯片 70g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2257}, {'matched_elme_id': 950124625023, 'matched_elme_name': '佳洁士 盐白牙膏自然洁白冰感清新 90g／支', 'matched_elme_spec': nan, 'similarity_score': 0.1689}, {'matched_elme_id': 949475726937, 'matched_elme_name': '雪碧Sprite 清爽柠檬味雪碧汽水 2l/瓶', 'matched_elme_spec': nan, 'similarity_score': 0.1601}]"
20319728224,劲仔 香辣小鱼 12g_袋,12g*1袋,"[{'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20320245924,好丽友派 巧克力味涂饰蛋类芯饼 68g／盒,68g*1盒,"[{'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20319567245,金厨娘 美味鸭掌 28g_袋,28克/袋,"[{'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.358}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20318976028,45米大号封箱胶带快递打包透明胶条加厚加宽包装胶布胶纸封箱带 _个,,"[{'matched_elme_id': 950101321402, 'matched_elme_name': '一次性浴巾旅行单独包装一次毛巾加厚加大不掉絮浴巾民宿酒店（60x120cm）', 'matched_elme_spec': nan, 'similarity_score': 0.2687}, {'matched_elme_id': 950103969919, 'matched_elme_name': '郎 45度小郎酒浓酱兼香型白酒 100ml/瓶', 'matched_elme_spec': nan, 'similarity_score': 0.2575}, {'matched_elme_id': 950119273131, 'matched_elme_name': '超凡 打火机防爆加厚版打火机 1个／件款式随机', 'matched_elme_spec': nan, 'similarity_score': 0.1644}]"
20316758375,脆司令 香葱蛋卷味香脆面 53g_袋,53克/袋,"[{'matched_elme_id': 949018491523, 'matched_elme_name': '乐事 香脆烤鸡翅味大波浪薯片 70克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.3886}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20511433517,迪味臻五香卤蛋 30g_袋,30g*1袋,"[{'matched_elme_id': 949479934319, 'matched_elme_name': '迪味臻五香卤蛋 30g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.9389}, {'matched_elme_id': 949473410578, 'matched_elme_name': '老李 五香干 70g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.1792}, {'matched_elme_id': 949021931793, 'matched_elme_name': '合味道 五香牛肉风味方便面 77g/杯', 'matched_elme_spec': nan, 'similarity_score': 0.1279}]"
20617709736,黄瓜约500g_份,500g*1份,"[{'matched_elme_id': 949011555171, 'matched_elme_name': '娃哈哈营养快线 水果酸奶饮品 500g/瓶', 'matched_elme_spec': nan, 'similarity_score': 0.3409}, {'matched_elme_id': 950690324031, 'matched_elme_name': '【口感松脆】乐事 薯片原味黄瓜多口味膨化土豆片休闲零食 口味随机 40g／袋', 'matched_elme_spec': nan, 'similarity_score': 0.1321}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20320160947,海氏海诺 透明防水创可贴6片／盒 可用于创面保护防感染,6片*1盒,"[{'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20317632702,GEMEZ 烤鸡风味小鸡干脆面 30g_袋,30克/袋,"[{'matched_elme_id': 949479934319, 'matched_elme_name': '迪味臻五香卤蛋 30g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2382}, {'matched_elme_id': 949018491523, 'matched_elme_name': '乐事 香脆烤鸡翅味大波浪薯片 70克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.18}, {'matched_elme_id': 950662664340, 'matched_elme_name': '【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.1758}]"
20318029263,小米 指甲剪米家防飞溅家用指甲刀女修指甲不锈钢指甲刀／把,1个*1份,"[{'matched_elme_id': 950450037712, 'matched_elme_name': '塑料脸盆加厚婴儿脸盆家用小号面盆/个', 'matched_elme_spec': nan, 'similarity_score': 0.3198}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}, {'matched_elme_id': 950103769331, 'matched_elme_name': '康师傅 BIG大食桶老坛酸菜牛肉面 159g/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20317942303,魔法士 巴西烤肉油炸方便面 35g_袋,35g*1袋,"[{'matched_elme_id': 950662664340, 'matched_elme_name': '【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.5362}, {'matched_elme_id': 950660220015, 'matched_elme_name': '中街 糯米糍香草口味雪糕 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.3424}, {'matched_elme_id': 950103657459, 'matched_elme_name': '康师傅 方便面 112g/桶【口味随机】', 'matched_elme_spec': nan, 'similarity_score': 0.1723}]"
20318061125,【脆司令】黑椒牛排味干脆面 53g_袋,53克/袋,"[{'matched_elme_id': 950662664340, 'matched_elme_name': '【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2684}, {'matched_elme_id': 956054440170, 'matched_elme_name': '鲨鱼菲特   黑椒味鸡胸肉即食健身代餐0减低脂高蛋白轻食主食鸡肉零食品60g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.1942}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
20423558709,米多奇 烤馍片非油炸烘烤糕点小零食（口味随机发）50g_袋,50g*1袋,"[{'matched_elme_id': 949022291561, 'matched_elme_name': '米多奇 烤馍片非油炸烘烤糕点小零食（口味随机发）50g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.9516}, {'matched_elme_id': 950111149923, 'matched_elme_name': '爱尚咪咪 虾味油炸糕点虾条 18克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.215}, {'matched_elme_id': 949472446011, 'matched_elme_name': '上好佳Oishi 无反式脂肪海苔味日式鱼果膨化食品 50g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2072}]"
20319619619,小浣熊 奥尔良烤翅味35g／袋 干脆面儿时的回忆（新老包装随机）,35g*1袋（包装随机）,"[{'matched_elme_id': 950662664340, 'matched_elme_name': '【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.445}, {'matched_elme_id': 950660220015, 'matched_elme_name': '中街 糯米糍香草口味雪糕 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.204}, {'matched_elme_id': 950128361417, 'matched_elme_name': '优粮 小滑头儿时回忆怀旧小零食素食经典 18g／袋', 'matched_elme_spec': nan, 'similarity_score': 0.1783}]"
20318107574,中街 糯米糍香草口味雪糕 35g_袋,35g*1袋,"[{'matched_elme_id': 950660220015, 'matched_elme_name': '中街 糯米糍香草口味雪糕 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.9486}, {'matched_elme_id': 950662664340, 'matched_elme_name': '【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2807}, {'matched_elme_id': 950106965145, 'matched_elme_name': '屈臣氏watsons 香草味苏打汽水 330毫升/罐', 'matched_elme_spec': nan, 'similarity_score': 0.1222}]"
20319926121,劲仔 酱汁味小鱼干 深海小鱼休闲零食 12g／袋,12g*1袋,"[{'matched_elme_id': 949045691487, 'matched_elme_name': '【口味随机】旺仔 QQ糖休闲小零食 20g／袋', 'matched_elme_spec': nan, 'similarity_score': 0.5174}, {'matched_elme_id': 950690324031, 'matched_elme_name': '【口感松脆】乐事 薯片原味黄瓜多口味膨化土豆片休闲零食 口味随机 40g／袋', 'matched_elme_spec': nan, 'similarity_score': 0.336}, {'matched_elme_id': 949028799678, 'matched_elme_name': '洽洽香瓜子葵瓜子原味恰恰原香瓜子前台接待坚果炒货休闲KTV零食 260g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.2638}]"
20318543394,卫龙 魔芋爽香辣素毛肚 80 克_袋,80克*1袋,"[{'matched_elme_id': 949473714726, 'matched_elme_name': '上好佳 鲜虾片膨化食品 80克/袋', 'matched_elme_spec': nan, 'similarity_score': 0.4503}, {'matched_elme_id': 949013951817, 'matched_elme_name': '卫龙亲嘴烧 经典香辣味调味面制品 20g/袋', 'matched_elme_spec': nan, 'similarity_score': 0.1917}, {'matched_elme_id': 950657120093, 'matched_elme_name': '汤达人 日式豚骨拉面 83g(面饼55g+配料28g)/桶', 'matched_elme_spec': nan, 'similarity_score': 0.0}]"
