商品ID,商品名称,规格,upc码,折扣价,原价,skuid
20318304358,（规格自选强力布基胶带网格双面胶高粘度透明无痕地毯地垫沙发垫固定贴 一卷,5cm*10m#2cm*10m,6902051437672,12.45,15,35112245909
20593235769,海氏海诺 一次性医用外科口罩 10只_盒,10只/盒,6925923788313,12.96,15.8,35816960188
20317711803,爱斐堡 牛奶味生吐司 散装 约70g_袋,70g*1袋,6971985410174,4.58,5.2,35111173396
20318114339,【1条】雀巢 脆脆鲨巧克力味威化饼干 零食营养能量棒,1根,6901884278551,3.76,2,35113206574
20316956858,天明 桉叶糖 22克_盒,22克*1盒,6901311000021,2.64,3,35110532938
20319809089,洽洽 香瓜子 洽洽坚果炒货 110g／包,110g/包,6901127020046,1.97,6.8,35111671290
20470087532,秀峰香 肉松沙拉三明治面包 65g_袋,65g*1袋,6922359501592,5.19,5.9,35572517767
20649168306,【山姆同款】Member's Mark 榛子味威化饼干_45g袋,,,4.4,5,35946840941
20319136979,【新鲜时令】进口新鲜水果越南香蕉500g约3-5根_份,500g*1份,2080192644136,14.78,16.8,35111253723
20318183497,达利园 香奶味软面包  200g／袋 面包就要达利园,200g*1袋,6904012995245,7.48,8.5,35109838607
20318504675,脆司令 奥尔良鸡翅味香脆面干脆面 53g／袋,53g*1袋,6903881133598,2.97,1.8,35112534219
20318026323,小浣熊 滋滋烤肉味干脆面 有肉任性35g／袋 初心不改美味依旧（包装随机发货）,35克,6903436355581,1.3,2,35109837925
20319641691,马来西亚进口大马碧富咸柠檬薄荷糖清凉青柠味清新himalaya润喉糖15克_袋,,3555630107614,7.04,8,35108871597
20319728224,劲仔 香辣小鱼 12g_袋,12g*1袋,6951957205786,1.32,1.5,35109865386
20320245924,好丽友派 巧克力味涂饰蛋类芯饼 68g／盒,68g*1盒,6903662463494,1.45,5,35112735868
20319567245,金厨娘 美味鸭掌 28g_袋,28克/袋,6935563600265,3.08,3.5,35109709355
20318976028,45米大号封箱胶带快递打包透明胶条加厚加宽包装胶布胶纸封箱带 _个,,2080127741411,4.31,8.8,35110706129
20316758375,脆司令 香葱蛋卷味香脆面 53g_袋,53克/袋,6920189004429,1.17,1.8,35109825383
20511433517,迪味臻五香卤蛋 30g_袋,30g*1袋,6948385700105,2.64,3,35653224088
20617709736,黄瓜约500g_份,500g*1份,,8.71,9.9,35872097376
20320160947,海氏海诺 透明防水创可贴6片／盒 可用于创面保护防感染,6片*1盒,6902211310586,5.53,6.5,35109758772
20317632702,GEMEZ 烤鸡风味小鸡干脆面 30g_袋,30克/袋,8994834002595,2.47,3.8,35110510682
20318029263,小米 指甲剪米家防飞溅家用指甲刀女修指甲不锈钢指甲刀／把,1个*1份,6903790820978,19.38,22.8,35111232530
20317942303,魔法士 巴西烤肉油炸方便面 35g_袋,35g*1袋,6901715297829,1.3,2,35109791895
20318061125,【脆司令】黑椒牛排味干脆面 53g_袋,53克/袋,6920189005594,1.17,1.8,35110699224
20423558709,米多奇 烤馍片非油炸烘烤糕点小零食（口味随机发）50g_袋,50g*1袋,6926215372890,0.01,2,35451312804
20319619619,小浣熊 奥尔良烤翅味35g／袋 干脆面儿时的回忆（新老包装随机）,35g*1袋（包装随机）,6903978938938,1.3,2,35113801772
20318107574,中街 糯米糍香草口味雪糕 35g_袋,35g*1袋,6921895902351,0.01,1.5,35109624532
20319926121,劲仔 酱汁味小鱼干 深海小鱼休闲零食 12g／袋,12g*1袋,6901505396107,1.32,1.5,35112260956
20318543394,卫龙 魔芋爽香辣素毛肚 80 克_袋,80克*1袋,6935284415650,4.4,5,35109592002
20317874640,乐事 经典原味薯片够薄够脆口味纯正 70g／袋,70g*1袋,6902944468721,6.6,7.5,35112138207
20330837351,仅限一份【惊喜盲盒】饮料？可乐？各种零食（惊喜不断）,1个*1份,3006491093320,0.5,0.5,35144528868
20320284623,狗牙儿 比萨卷烧烤味儿时怀旧回忆小零食 20g／袋,20g*1袋,6902890346159,0.78,0.78,35111430174
20319449643,精选新鲜越南香蕉 1根约100g,100g*1份,2080486866138,0.01,2.5,35109512196
20318064463,【小包】禛香肥牛牛肉味素食风味就选 18g_袋,18g*1袋,,1.5,1.5,35110554331
20320044975,加多宝 凉茶植物饮料 310ml／罐,310ml*1罐,6902991940355,3.43,3.9,35111063369
20319054021,优粮 小滑头儿时回忆怀旧小零食素食经典 18g／袋,18g*1袋,6902784943129,0.9,0.9,35113081445
20317232851,简禾 酒精湿巾湿纸巾大包一次性消毒纸巾家用厨房卫生纸 80片_包,80片/包,6973387145432,12.48,15.8,35109548253
20318743694,娃哈哈 桂圆八宝八宝粥 360g_罐,360g*1罐,6902083893019,0.01,5,35109990564
20611879606,伊利冰工厂 炫菠萝雪泥 70g_袋,70g*1袋,6907992825311,2.64,3,35863260440
20320003977,旺仔 牛奶 145ml_罐,145ml*1罐,8932703971214,3.5,3.5,35109878732
20319379653,步步升 南京板鸭 儿时回忆办公休闲小零嘴 20g／袋,20克/袋,6904000638772,0.8,0.8,35113131717
20442838920,好丽友好有趣 韩国泡菜味好友趣切片型马铃薯片 45g_袋,45g*1袋,6920907808834,4.25,5,35500837523
20317713915,小浣熊 销魂香辣蟹味油炸方便面 35g_袋,35g*1袋,6925303713058,1.3,2,35111651312
20319294692,上海特产老城隍庙奶油五香豆200克蚕豆休闲零食_袋,200克,2080299087546,13.78,16.8,35111458567
20319293916,爱尚咪咪 虾味油炸糕点虾条 18克_袋,18克*1袋,6924790600537,0.01,1,35112047319
20317987927,旺旺 大米饼 135g_袋,135g*1袋,6920616313186,9.5,10.8,35110536289
20318981267,甘师傅 一根葱葱香味一根葱非油炸膨化食品 13g／袋怀旧小食品,13g*1袋,6901939344644,1.99,0.99,35113604557
20592674507,双汇 王中王火腿肠 30g_根,30g*1根,6902890883968,0.01,2,35815568460
20317744278,缺牙齿 香辣味素牛肚 16g_袋,16g*1袋,6976481800078,3,3,35109471389
20902350634,冈本okamoto 001超润滑聚氨酯避孕套 3片_盒,3片*1盒,4547691791696,83.9,128,36652819758
20795811956,七鲜巴马弱碱性天然泉水 380ml_瓶,380ml/瓶,6978412561942,0.01,2,36269480332
20795811947,七鲜巴马弱碱性天然泉水 500ml_瓶,500ml/瓶,6978412561959,0.01,2.3,36269480323
20317356107,【规格可选】编织袋打包袋蛇皮袋搬家快递打包装修垃圾沙土袋1个,100*150cm,6901763651109,3.51,3.5,35113441965
21722804533,迪味臻小鱼口味随机12g1袋,,,0.01,1.5,38663087741
20317552424,农夫山泉 天然饮用水 5L／桶,5l*1桶,6902106574543,21.67,16.8,35113168404
21152166207,形象美 玻尿酸水润精华面膜 1片,25g*1片,6942349708558,5.01,5,37304364013
20779076810,【颜色随机】大号塑料圆形垃圾桶办公室卫生间厕所家用厨房圆形纸篓种蒜筐_个,,,0.1,9.9,36236428275
20319889182,红牛 维生素功能饮料罐装 250ml／罐,250ml*1罐,6901897944115,8.51,8.5,35113281934
20319449643,精选新鲜越南香蕉 1根约100g,100g*1份,2080486866138,0.01,2.5,35109512196
20612982160,蒙牛绿色心情 绿莎莎雪糕 70g_支,70g*1支,6923644266257,0.01,3.5,35863171431
20318107574,中街 糯米糍香草口味雪糕 35g_袋,35g*1袋,6921895902351,0.01,1.5,35109624532
20318972257,清风 原木卷纸 1卷,1卷*1袋,6922266450310,1.45,5,35109668703
20319686677,旺旺 碎冰冰 78g／支【口味随机】,78g*1支,6901526547304,1.51,1.5,35110435328
20594652316,康师傅 低糖绿茶饮料 1l_瓶【红绿随机】,1l*1瓶,6922507038611,6.01,6,35817125955
20595171196,康师傅红茶茶饮料 500毫升_瓶【口味随机】,500毫升*1瓶,6943260971267,0.01,3.5,35817164091
20319618647,if 椰汁水国进口纯椰子水果汁无添加  350ml／瓶,350毫升,6903973837274,12.26,9.5,35113561146
20317676593,农夫山泉茶π瓶茶派蜜桃乌龙柠檬红茶青提茶兀【口味随机】500ml_瓶,500毫升/瓶,6903354722403,6.01,6,35109759535
20318743694,娃哈哈 桂圆八宝八宝粥 360g_罐,360g*1罐,6902083893019,0.01,5,35109990564
20319807738,农夫山泉 天然饮用水 1.5L／瓶 天然水大瓶装,1.5l*1瓶,6903355392889,1.31,4.5,35113206891
20317945136,百岁山 天然矿泉水 办公室会议小瓶装水 348ml／瓶,348ml/瓶,6902068928255,0.01,2.5,35110872453
20319298638,【国货之光】娃哈哈 饮用纯净水 596ml／瓶,596ml*1瓶,6901670527375,0.01,2,35113124776
20317391196,哇哈哈 ad钙奶 220g_瓶,220g*1瓶,40363245597369,8.41,2.8,35111013349
20317993427,怡宝 饮用纯净水 饮用水  555ml／瓶,555ml*1瓶,6903056866443,0.01,2.2,35110279415
20320121272,农夫山泉 天然饮用水 天然饮用水 550ml／瓶,550ml*1瓶,6902921992324,0.01,2,35110156697
20318784104,王老吉 植物凉茶清凉降火本草植物配制 310ml／罐,310ml*1罐,6903725939645,0.01,4,35110871034
20423558709,米多奇 烤馍片非油炸烘烤糕点小零食（口味随机发）50g_袋,50g*1袋,6926215372890,0.01,2,35451312804
20593266460,元气森林 0糖0脂0卡气元气森林气泡水 480ml_瓶【口味随机】,480ml*1瓶,6901018969805,0.01,5.5,35815189145
20319326172,百威 9.7°P啤酒 500ml_听,500ml*1听,6948960100078,19.01,9.5,35111525613
20317718385,雪碧 清爽柠檬味汽水 500ml／瓶 透心凉夏季解渴饮品,500ml*1瓶,6901084259084,0.01,3.5,35111743698
20317827561,雪花清爽 清爽8°P啤酒 500ml_听,500ml*1听,6948391600567,0.01,5,35111446936
20317119570,可口可乐 零度无糖汽水 0糖0脂肪健身必备 330ml／罐,330ml*1罐,6902161339224,4.51,4.5,35111694741
20318264219,【随机品牌】可口可乐雪碧美年达芬达多种口味汽水 330ml_罐,330ml*1罐,6920273347241,0.01,2.5,35109311766
20319447634,【口味随机】东方树叶 0卡茶饮料 500ml_瓶,500ml*1瓶,6968217558049,6.01,6,35111248135
20319487391,雪菲力 荔枝味复合果汁饮料 250ml_盒,250ml*1盒,6901939122846,0.01,2.5,35110023771
20319528527,伊利 草莓味优酸乳 250ml／盒 酸酸甜甜就是我,250ml*1盒,6901388210972,0.01,2.5,35110664752
20317996612,鲲乐 素牛味棒辣条小零食回忆辣条怀旧零食 15g／袋,15克/袋,6902809540340,0.01,1.5,35113644365
20318112912,味芝元 香辣鱼排 26g／袋,26g*1袋,6902163533958,0.01,3.6,35111344332
20317836095,南街村 北京麻辣方便面 65g／袋 儿时的味道经典麻辣味,65g*1袋,6904052644097,2.21,2.2,35112295729
20426248351,余同乐 素食北京烤鸭其他豆制品 76g_袋,76g*1袋,6971082140097,1.16,4,35452908370
20317544670,双汇 台式烤香肠 38g_袋,38g*1袋,6902890259541,0.01,3,35108799399
20317832437,麻辣王子 地道辣条微麻微辣 18g／袋 网红平江辣条,18g*1袋,6902902737487,1.81,1.8,35112286735
20319809089,洽洽 香瓜子 洽洽坚果炒货 110g／包,110g/包,6901127020046,1.97,6.8,35111671290
20318422176,卫龙 香辣味大面筋辣条102g／袋 卫龙休闲小零食,102g*1袋,6901255878281,5.01,5,35112368547
20512614732,迪味臻 山椒味泡椒凤爪 35g_袋,32g*1袋,6924690501101,0.01,3.9,35653507598
20428212802,琥珀小米锅巴 麻辣味小米锅巴含油型膨化食品 22g_袋,22g*1袋,6936605800018,0.01,1.5,35461280698
20318981267,甘师傅 一根葱葱香味一根葱非油炸膨化食品 13g／袋怀旧小食品,13g*1袋,6901939344644,1.99,0.99,35113604557
20319293916,爱尚咪咪 虾味油炸糕点虾条 18克_袋,18克*1袋,6924790600537,0.01,1,35112047319
20595280329,康师傅 方便面 112g_桶【口味随机】,112g*1桶,6920208993345,1.6,5.5,35815688807
20318701286,【口味随机】小浣熊 干脆面有肉任性油炸方便面 35g_袋,35g*1袋,6925303779009,0.01,2,35109155311